"site_id";"site_name";"county";"state";"latitude";"longitude"
360010005;"ALBANY COUNTY HEALTH DEPT";"Albany";"New York";42.64225;-73.75464
360010012;"LOUDONVILLE";"Albany";"New York";42.68075;-73.75733
360050080;"MORRISANIA";"Bronx";"New York";40.83606;-73.92009
360050110;"IS 52";"Bronx";"New York";40.816;-73.902
360050112;"IS 74";"Bronx";"New York";40.81551;-73.88553
360050133;"PFIZER LAB SITE";"Bronx";"New York";40.8679;-73.87809
360130006;"DUNKIRK";"Chautauqua";"New York";42.49963;-79.31881
360290002;"AMHERST";"Erie";"New York";42.99328;-78.77153
360290005;"BUFFALO";"Erie";"New York";42.8769066671345;-78.8095260117327
360290023;"Buffalo Near-Road";"Erie";"New York";42.9211072796373;-78.7658253281598
360291014;"BROOKSIDE TERRACE";"Erie";"New York";42.99813;-78.89926
360470052;"PS 314";"Kings";"New York";40.64182;-74.01871
360470118;"PS 274";"Kings";"New York";40.69454;-73.92769
360470122;"JHS 126";"Kings";"New York";40.71961;-73.94771
360550015;"Rochester Near-Road";"Monroe";"New York";43.1450126807403;-77.5572802599319
360551007;"ROCHESTER 2";"Monroe";"New York";43.14618;-77.54817
360590005;"EISENHOWER PARK";"Nassau";"New York";40.74316;-73.58549
360610079;"IS 45";"New York";"New York";40.7997;-73.93432
360610115;"Intermediate School 143";"New York";"New York";40.8495500009336;-73.935649
360610128;"PS 19";"New York";"New York";40.73;-73.984
360610134;"DIVISION STREET";"New York";"New York";40.71436;-73.99518
360610135;"CCNY";"New York";"New York";40.81976;-73.94825
360652001;"UTICA HEALTH DEPT";"Oneida";"New York";43.09892;-75.22506
360671015;"EAST SYRACUSE";"Onondaga";"New York";43.05235;-76.05921
360710002;"NEWBURGH";"Orange";"New York";41.49916;-74.00885
360810120;"MASPETH LIBRARY";"Queens";"New York";40.72698;-73.89313
360810124;"QUEENS COLLEGE 2";"Queens";"New York";40.73614;-73.82153
360810125;"Queens College Near Road";"Queens";"New York";40.739264;-73.817694
360850055;"RICHMOND POST OFFICE";"Richmond";"New York";40.63307;-74.13719
360850111;"FRESHKILLS WEST";"Richmond";"New York";40.58027;-74.19832
360870005;"Rockland County";"Rockland";"New York";41.18208;-74.02819
361010003;"PINNACLE STATE PARK";"Steuben";"New York";42.09142;-77.20978
361030002;"BABYLON";"Suffolk";"New York";40.74529;-73.41919
361030009;"HOLTSVILLE";"Suffolk";"New York";40.82799;-73.05754
361192004;"WHITE PLAINS";"Westchester";"New York";41.05192;-73.76366
